会員番号,Googleメール,GoogleID,名前,性別,年代,業種,職種,現在地,出身地,自己紹介,こんな人と繋がりたい,こんな人とは繋がりたくない,タグ,プロフィール画像URL,LINE,Instagram,X,YouTube,掲載中,社長マーク,社長マーク状態,オンライン状態,掲載日,登録日時,更新日時,最終ログイン日時
00001,user00001@example.com,google-sub-00001,佐藤翔太,男性,20代,サービス業,経営者,北海道,神奈川県,サービス業で活動する経営者の佐藤翔太です。会員No.00001として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,北海道",https://i.pravatar.cc/150?img=1,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-11 17:00:00,2026-07-04 17:00:00,2026-07-12 07:00:00,2026-07-12 07:00:00
00002,user00002@example.com,google-sub-00002,鈴木真由,女性,30代,美容・健康,代表取締役,宮城県,愛知県,美容・健康で活動する代表取締役の鈴木真由です。会員No.00002として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,宮城",https://i.pravatar.cc/150?img=2,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-06 22:00:00,2026-06-15 22:00:00,2026-07-08 21:00:00,2026-07-08 21:00:00
00003,user00003@example.com,google-sub-00003,高橋蒼,男性,40代,建設・不動産,CEO,東京都,兵庫県,建設・不動産で活動するCEOの高橋蒼です。会員No.00003として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,東京",https://i.pravatar.cc/150?img=3,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-20 07:00:00,2026-06-07 07:00:00,2026-06-20 09:00:00,2026-06-20 09:00:00
00004,user00004@example.com,google-sub-00004,田中美咲,女性,50代,飲食・サービス,サロンオーナー,神奈川県,佐賀県,飲食・サービスで活動するサロンオーナーの田中美咲です。会員No.00004として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,神奈川",https://i.pravatar.cc/150?img=4,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-20 19:00:00,2026-06-13 19:00:00,2026-06-22 03:00:00,2026-06-22 03:00:00
00005,user00005@example.com,google-sub-00005,伊藤颯太,男性,60代,製造業,専務取締役,埼玉県,新潟県,製造業で活動する専務取締役の伊藤颯太です。会員No.00005として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,埼玉",https://i.pravatar.cc/150?img=5,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-06-28 08:00:00,2026-06-22 08:00:00,2026-06-30 05:00:00,2026-06-30 05:00:00
00006,user00006@example.com,google-sub-00006,渡辺陽菜,女性,20代,IT・通信,工場長,千葉県,東京都,IT・通信で活動する工場長の渡辺陽菜です。会員No.00006として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,千葉",https://i.pravatar.cc/150?img=6,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-09 18:00:00,2026-04-25 18:00:00,2026-05-11 07:00:00,2026-05-11 07:00:00
00007,user00007@example.com,google-sub-00007,山本亮,男性,30代,小売,部長,愛知県,千葉県,小売で活動する部長の山本亮です。会員No.00007として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,愛知",https://i.pravatar.cc/150?img=7,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-03-21 01:00:00,2026-02-25 01:00:00,2026-03-21 11:00:00,2026-03-21 11:00:00
00008,user00008@example.com,google-sub-00008,中村凛,女性,40代,教育,個人事業主,大阪府,京都府,教育で活動する個人事業主の中村凛です。会員No.00008として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,大阪",https://i.pravatar.cc/150?img=8,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-19 17:00:00,2026-05-15 17:00:00,2026-05-20 06:00:00,2026-05-20 06:00:00
00009,user00009@example.com,google-sub-00009,小林和也,男性,50代,医療・福祉,フリーランス,京都府,福岡県,医療・福祉で活動するフリーランスの小林和也です。会員No.00009として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,京",https://i.pravatar.cc/150?img=9,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-18 23:00:00,2026-06-06 23:00:00,2026-06-19 05:00:00,2026-06-19 05:00:00
00010,user00010@example.com,google-sub-00010,加藤美月,女性,60代,その他,その他,兵庫県,静岡県,その他で活動するその他の加藤美月です。会員No.00010として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,兵庫",https://i.pravatar.cc/150?img=10,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-03-15 14:00:00,2026-02-24 14:00:00,2026-03-16 06:00:00,2026-03-16 06:00:00
00011,user00011@example.com,google-sub-00011,吉田健太,男性,20代,サービス業,経営者,広島県,宮城県,サービス業で活動する経営者の吉田健太です。会員No.00011として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,広島",https://i.pravatar.cc/150?img=11,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-06 11:00:00,2026-06-19 11:00:00,2026-07-06 18:00:00,2026-07-06 18:00:00
00012,user00012@example.com,google-sub-00012,山田花,女性,30代,美容・健康,代表取締役,福岡県,埼玉県,美容・健康で活動する代表取締役の山田花です。会員No.00012として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,福岡",https://i.pravatar.cc/150?img=12,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-07-11 08:00:00,2026-07-02 08:00:00,2026-07-13 00:00:00,2026-07-13 00:00:00
00013,user00013@example.com,google-sub-00013,佐々木颯太,男性,40代,建設・不動産,CEO,佐賀県,大阪府,建設・不動産で活動するCEOの佐々木颯太です。会員No.00013として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,佐賀",https://i.pravatar.cc/150?img=13,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-13 14:00:00,2026-02-23 14:00:00,2026-03-14 02:00:00,2026-03-14 02:00:00
00014,user00014@example.com,google-sub-00014,山口恵,女性,50代,飲食・サービス,サロンオーナー,沖縄県,広島県,飲食・サービスで活動するサロンオーナーの山口恵です。会員No.00014として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,沖縄",https://i.pravatar.cc/150?img=14,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-06-26 18:00:00,2026-06-02 18:00:00,2026-06-27 12:00:00,2026-06-27 12:00:00
00015,user00015@example.com,google-sub-00015,松本大輔,男性,60代,製造業,専務取締役,静岡県,沖縄県,製造業で活動する専務取締役の松本大輔です。会員No.00015として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,静岡",https://i.pravatar.cc/150?img=15,,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-03-14 18:00:00,2026-02-15 18:00:00,2026-03-15 00:00:00,2026-03-15 00:00:00
00016,user00016@example.com,google-sub-00016,井上花,女性,20代,IT・通信,工場長,新潟県,北海道,IT・通信で活動する工場長の井上花です。会員No.00016として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,新潟",https://i.pravatar.cc/150?img=16,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-27 11:00:00,2026-05-07 11:00:00,2026-05-28 10:00:00,2026-05-28 10:00:00
00017,user00017@example.com,google-sub-00017,木村直樹,男性,30代,小売,部長,北海道,神奈川県,小売で活動する部長の木村直樹です。会員No.00017として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,北海道",https://i.pravatar.cc/150?img=17,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-15 14:00:00,2026-05-09 14:00:00,2026-05-17 08:00:00,2026-05-17 08:00:00
00018,user00018@example.com,google-sub-00018,林奈々,女性,40代,教育,個人事業主,宮城県,愛知県,教育で活動する個人事業主の林奈々です。会員No.00018として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,宮城",https://i.pravatar.cc/150?img=18,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-04-03 05:00:00,2026-04-01 05:00:00,2026-04-04 19:00:00,2026-04-04 19:00:00
00019,user00019@example.com,google-sub-00019,斎藤直樹,男性,50代,医療・福祉,フリーランス,東京都,兵庫県,医療・福祉で活動するフリーランスの斎藤直樹です。会員No.00019として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,東京",https://i.pravatar.cc/150?img=19,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-24 18:00:00,2026-04-19 18:00:00,2026-04-25 23:00:00,2026-04-25 23:00:00
